employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id,change_time,bonus
167,Amit,Banda,ABANDA,1544480768,1900-01-00,SA_REP,6200,0.1,147,80,,1116
168,Lisa,Ozer,LOZER,1664995321,1900-01-00,SA_REP,11500,0.25,148,80,,2070
169,Harrison,Bloom,HBLOOM,1664323688,1900-01-00,SA_REP,10000,0.2,148,80,,1800
170,Tayler,Fox,TFOX,1555872191,1900-01-00,SA_REP,9600,0.2,148,80,,1728
171,William,Smith,WSMITH,1902761106,1900-01-00,SA_REP,7400,0.15,148,80,,1332
113,LuisJulia,Popp,LPOPP,1697204047,1900-01-00,FI_ACCOUNT,6900,,108,100,,1242
125,Julia,Nayer,abc@xy,1724851545,1900-01-00,ST_CLERK,3200,,120,50,,576
147,Alberto,Errazuriz,AERRAZUR@hotmail.com,1710775428,1900-01-00,SA_MAN,12000,0.3,100,80,,2160
100,Steven,King,SKING@outlook.com,1813593285,1900-01-00,AD_PRES,24000,,,90,,4320
101,sp works!,Kochhar,NKOCHHAR,1810068944,1900-01-00,AD_VP,17000,,101,90,,3060
102,Lex Changed!,De Haan,LDEHAAN,1797165723,1900-01-00,AD_VP,17000,,100,90,,3060
172,Elizabeth,Bates,EBATES,1687163906,1900-01-00,SA_REP,7300,0.15,148,80,,1314
173,Sundita,Kumar,SKUMAR,1704144735,1900-01-00,SA_REP,6100,0.1,148,80,,1098
174,Ellen,Abel,EABEL,1822012029,1900-01-00,SA_REP,11000,0.3,149,80,,1980
175,Alyssa,Hutton,AHUTTON,1875250892,1900-01-00,SA_REP,8800,0.25,149,80,,1584
176,Jonathon,Taylor,JTAYLOR,1672668381,1900-01-00,SA_REP,8600,0.2,149,80,,1548
177,Jack,Livingston,JLIVINGS,1603207397,1900-01-00,SA_REP,8400,0.2,149,80,,1512
178,Kimberely,Grant,KGRANT,1743557234,1900-01-00,SA_REP,7000,0.15,149,,,1260
179,Charles,Johnson,CJOHNSON,1830027396,1900-01-00,SA_REP,6200,0.1,149,80,,1116
180,Winston,Taylor,WTAYLOR,1604043654,1900-01-00,SH_CLERK,3200,,120,50,,576
181,Jean,Fleaur,JFLEAUR,1899501099,1900-01-00,SH_CLERK,3100,,120,50,,558
182,Martha,Sullivan,MSULLIVA,1739742867,1900-01-00,SH_CLERK,2500,,120,50,,450
183,Girard,Geoni,GGEONI,1798499215,1900-01-00,SH_CLERK,2800,,120,50,,504
184,Nandita,Sarchand,NSARCHAN,1767263452,1900-01-00,SH_CLERK,4200,,121,50,,756
185,Alexis,Bull,ABULL,1690659039,1900-01-00,SH_CLERK,4100,,121,50,,738
188,Kelly,Chung,KCHUNG,1710806694,1900-01-00,SH_CLERK,3800,,122,50,,684
189,Jennifer,Dilly,JDILLY,1730740164,1900-01-00,SH_CLERK,3600,,122,50,,648
190,Timothy,Gates,TGATES,1568660939,1900-01-00,SH_CLERK,2900,,122,50,,522
191,Randall,Perkins,RPERKINS,1640742272,1900-01-00,SH_CLERK,2500,,122,50,,450
192,Sarah,Bell,SBELL,1891427940,1900-01-00,SH_CLERK,4000,,123,50,,720
193,Britney,Everett,BEVERETT,1639842123,1900-01-00,SH_CLERK,3900,,123,50,,702
194,Samuel,McCain,SMCCAIN,1687005788,1900-01-00,SH_CLERK,3200,,123,50,,576
195,Vance,Jones,VJONES,1643638732,1900-01-00,SH_CLERK,2800,,123,50,,504
196,Alana,Walsh,AWALSH,1830528365,1900-01-00,SH_CLERK,3100,,124,50,,558
197,Kevin,Feeney,KFEENEY,1833319698,1900-01-00,SH_CLERK,3000,,124,50,,540
198,Donald,OConnell,DOCONNEL,1664355543,1900-01-00,SH_CLERK,2600,,124,50,,468
199,Douglas,Grant,DGRANT,1619307338,1900-01-00,SH_CLERK,2600,,124,50,,468
202,Pat,Fay,PFAY,1734044091,1900-01-00,MK_REP,6000,,201,20,,1080
203,Susan,Mavris,SMAVRIS,1531737286,1900-01-00,HR_REP,6500,,101,40,,1170
204,Hermann,Baer,HBAER,1741823304,1900-01-00,PR_REP,10000,,101,70,,1800
1,changed,Dellinger,ghcjhvh@xyz1,1822750644,1900-01-00,SH_CLERK,5400,,121,50,2022-07-03 22:30:18.692 +0600,972
186,Julia,Dellinger,ghcjhvh@xyz1234,1589096739,1900-01-00,SH_CLERK,3400,,121,50,,612
2,Julia,Dellinger,ghcjhvh@xyz2,1821502358,1900-01-00,SH_CLERK,3400,,121,50,,612
187,Anthony,Cabrio,ACABRIO@gmail.com,1882466270,1900-01-00,SH_CLERK,3000,,121,50,,540
206,William,,WGIETZ@yahoo.com,1651292924,1900-01-00,AC_ACCOUNT,8300,,205,110,,1494
205,Shelley,Higgins,SHIGGINS@gmail.com,1788678705,1900-01-00,AC_MGR,12000,,101,110,,2160
200,Jennifer,Whalen,JWHALEN@yahoo.com,1545484030,1900-01-00,AD_ASST,4400,,101,10,,792
201,Michael,Hartstein,MHARTSTE,1881919238,1900-01-00,MK_MAN,13000,,100,,,2340
103,Alexander,Hunold,AHUNOLD,1540763659,1900-01-00,IT_PROG,32000,,102,60,2022-07-03 22:32:07.740 +0600,5760
104,Bruce,Ernst,BERNST,1538047558,1900-01-00,IT_PROG,29000,,103,60,2022-07-03 22:32:07.740 +0600,5220
105,David,Austin,DAUSTIN,1815406133,1900-01-00,IT_PROG,27800,,103,60,2022-07-03 22:32:07.740 +0600,5004
106,Valli,Pataballa,VPATABAL,1614893306,1900-01-00,IT_PROG,27800,,103,60,2022-07-03 22:32:07.740 +0600,5004
107,Julilulia Diana,Lorentz,DLORENTZ,1649921201,1900-01-00,IT_PROG,27200,,103,60,2022-07-03 22:32:07.740 +0600,4896
111,Ismael,Sciarra,ISCIARRA@gmail,1869739687,1900-01-00,FI_ACCOUNT,7700,,108,100,,1386
112,Jose Manuel,Urman,JMURMAN@gmail.com,1889640986,1900-01-00,FI_ACCOUNT,7800,,108,100,,1404
